DR_NO,Date_Rptd,DATE_OCC,TIME_OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
251304117,2/6/2025 0:00,2/6/2025 0:00,1547,13,Newton,1385,1,210,ROBBERY,0352 1221 0344 0432 0337 1309,16,M,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,210,,,,CENTRAL                      AV,SLAUSON,33.9893,-118.2565
250800501,2/6/2025 0:00,2/6/2025 0:00,1002,8,West LA,898,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0417 0444 1817 0342 2024 0446 0913,17,M,H,721,HIGH SCHOOL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,,,2900 S  ROBERTSON                    BL,,34.0348,-118.3893
250504139,2/10/2025 0:00,2/6/2025 0:00,30,5,Harbor,523,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,2000    JOHN S GIBSON                BL,,33.7566,-118.2896
250504132,2/6/2025 0:00,2/6/2025 0:00,940,5,Harbor,563,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0319 0443,54,M,W,720,JUNIOR HIGH SCHOOL,511,VERBAL THREAT,IC,Invest Cont,930,,,,1500 S  CABRILLO                     AV,,33.7306,-118.2946
250504141,2/10/2025 0:00,2/6/2025 0:00,30,5,Harbor,523,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,2000    JOHN S GIBSON                BL,,33.7566,-118.2896
251004125,2/6/2025 0:00,2/6/2025 0:00,1415,10,West Valley,1012,2,900,VIOLATION OF COURT ORDER,0913 2038 1813 1309 1312,29,F,W,721,HIGH SCHOOL,,,IC,Invest Cont,900,,,,7200    AMIGO                        AV,,34.2012,-118.5386
251704105,2/7/2025 0:00,2/6/2025 0:00,2130,17,Devonshire,1717,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,0,X,X,721,HIGH SCHOOL,,,IC,Invest Cont,341,,,,11200    GOTHIC                       AV,,34.2737,-118.4887
250504128,2/6/2025 0:00,2/6/2025 0:00,30,5,Harbor,523,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,2000    JOHN S GIBSON                BL,,33.7566,-118.2896
250504129,2/6/2025 0:00,2/6/2025 0:00,30,5,Harbor,523,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,2000    JOHN S GIBSON                BL,,33.7566,-118.2896
251804112,2/6/2025 0:00,2/6/2025 0:00,1540,18,Southeast,1864,2,946,OTHER MISCELLANEOUS CRIME,9999,0,X,X,726,POLICE FACILITY,,,IC,Invest Cont,946,,,,100 W  108TH                        ST,,33.927,-118.258
251504175,2/6/2025 0:00,2/6/2025 0:00,1559,15,N Hollywood,1524,2,813,CHILD ANNOYING (17YRS & UNDER),1258 1251,14,F,H,101,STREET,,,IC,Invest Cont,813,,,,6500    LAUREL CANYON                BL,,34.1869,-118.3987
250304138,2/6/2025 0:00,2/6/2025 0:00,200,3,Southwest,356,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1400 W  36TH                         PL,,34.0219,-118.3002
250504140,2/10/2025 0:00,2/6/2025 0:00,30,5,Harbor,523,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,2000    JOHN S GIBSON                BL,,33.7566,-118.2896
250504127,2/6/2025 0:00,2/6/2025 0:00,1400,5,Harbor,523,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,2000    JOHN S GIBSON                BL,,33.7566,-118.2896
250304148,2/8/2025 0:00,2/6/2025 0:00,2215,3,Southwest,325,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,101,STREET,,,IC,Invest Cont,522,,,,2600 S  CATALINA                     ST,,34.0328,-118.2942
250504138,2/10/2025 0:00,2/6/2025 0:00,30,5,Harbor,523,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,2000    JOHN S GIBSON                BL,,33.7566,-118.2896
250504142,2/10/2025 0:00,2/5/2025 0:00,1430,5,Harbor,523,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,2000    JOHN S GIBSON                BL,,33.7566,-118.2896
250504147,2/10/2025 0:00,2/5/2025 0:00,1930,5,Harbor,523,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,2000    JOHN S GIBSON                BL,,33.7566,-118.2896
250504156,2/11/2025 0:00,2/5/2025 0:00,2240,5,Harbor,523,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,2000    JOHN S GIBSON                BL,,33.7566,-118.2896
250504148,2/10/2025 0:00,2/5/2025 0:00,1930,5,Harbor,523,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,2000    JOHN S GIBSON                BL,,33.7566,-118.2896
250304143,2/6/2025 0:00,2/5/2025 0:00,1930,3,Southwest,358,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,102,SIDEWALK,,,IC,Invest Cont,341,,,,600    HELLMAN                      WY,,34.0197,-118.2815
250504145,2/10/2025 0:00,2/5/2025 0:00,1930,5,Harbor,523,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,2000    JOHN S GIBSON                BL,,33.7566,-118.2896
250304136,2/6/2025 0:00,2/5/2025 0:00,1755,3,Southwest,358,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,600    CHILDS                       WY,,34.0189,-118.2819
250304144,2/6/2025 0:00,2/5/2025 0:00,1900,3,Southwest,358,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,700 W  EXPOSITION                   BL,,34.0183,-118.2832
250504137,2/10/2025 0:00,2/5/2025 0:00,1430,5,Harbor,523,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,2000    JOHN S GIBSON                BL,,33.7566,-118.2896
250504146,2/10/2025 0:00,2/5/2025 0:00,1430,5,Harbor,523,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,2000    JOHN S GIBSON                BL,,33.7566,-118.2896
250504143,2/10/2025 0:00,2/5/2025 0:00,1930,5,Harbor,523,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,2000    JOHN S GIBSON                BL,,33.7566,-118.2896
250304134,2/5/2025 0:00,2/5/2025 0:00,800,3,Southwest,358,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,3500    TROUSDALE PKWY,,34.0216,-118.2844
251804109,2/5/2025 0:00,2/5/2025 0:00,1130,18,Southeast,1801,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1822 0311 0329 0327 1300,0,X,X,704,ELEMENTARY SCHOOL,,,IC,Invest Cont,745,,,,8600    BARING CROSS                 ST,,33.96,-118.2894
250504144,2/10/2025 0:00,2/5/2025 0:00,1930,5,Harbor,523,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,2000    JOHN S GIBSON                BL,,33.7566,-118.2896
250304135,2/6/2025 0:00,2/5/2025 0:00,1700,3,Southwest,338,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,900 W  JEFFERSON                    BL,,34.0242,-118.2849
250304131,2/5/2025 0:00,2/4/2025 0:00,2000,3,Southwest,358,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,101,STREET,,,IC,Invest Cont,522,,,,1000    DOWNEY                       WY,,34.0212,-118.2895
250304164,2/10/2025 0:00,2/4/2025 0:00,1645,3,Southwest,338,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,101,STREET,,,IC,Invest Cont,522,,,,MCCLINTOCK                   AV,JEFFERSON                    BL,34.0252,-118.287
251404220,2/5/2025 0:00,2/4/2025 0:00,2140,14,Pacific,1495,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,6100    WESTCHESTER PKWY,,33.9526,-118.3893
251104095,2/4/2025 0:00,2/3/2025 0:00,1650,11,Northeast,1101,1,330,BURGLARY FROM VEHICLE,0344 1302 0307,32,M,A,109,PARK/PLAYGROUND,,,IC,Invest Cont,330,,,,2800 E  OBSERVATORY                  RD,,34.1192,-118.3004
251804110,2/4/2025 0:00,2/3/2025 0:00,2230,18,Southeast,1822,1,648,ARSON,1501 0329 1822,0,X,X,704,ELEMENTARY SCHOOL,,,IC,Invest Cont,648,,,,400 W  98TH                         ST,,33.9472,-118.2802
251404229,2/8/2025 0:00,2/3/2025 0:00,900,14,Pacific,1495,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,108,PARKING LOT,,,IC,Invest Cont,522,,,,6200 W  96TH                         ST,,33.9523,-118.3906
251104094,2/3/2025 0:00,2/2/2025 0:00,2040,11,Northeast,1101,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,33,M,W,109,PARK/PLAYGROUND,,,IC,Invest Cont,440,,,,2800 E  OBSERVATORY                  RD,,34.1192,-118.3004
251104091,2/3/2025 0:00,2/2/2025 0:00,1315,11,Northeast,1132,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),344,22,M,B,109,PARK/PLAYGROUND,,,IC,Invest Cont,331,,,,3400    RIVERSIDE                    DR,,34.1161,-118.271
250304117,2/2/2025 0:00,2/1/2025 0:00,1600,3,Southwest,328,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,101,STREET,,,IC,Invest Cont,522,,,,2600    PORTLAND                     ST,,34.0309,-118.2821
250304113,2/1/2025 0:00,2/1/2025 0:00,1406,3,Southwest,358,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,101,STREET,,,IC,Invest Cont,522,,,,3600    MCCLINTOCK                   AV,,34.0212,-118.2895
251204137,1/31/2025 0:00,1/31/2025 0:00,910,12,77th Street,1207,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1258 0302 0216 0213 0202 0443 1251 1822,10,M,B,704,ELEMENTARY SCHOOL,104,SHOTGUN,IC,Invest Cont,230,,,,800 W  51ST                         ST,,33.9964,-118.2872
250304141,2/6/2025 0:00,1/31/2025 0:00,925,3,Southwest,392,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344,24,X,X,721,HIGH SCHOOL,,,IC,Invest Cont,341,,,,5000    11TH                         AV,,33.9977,-118.3294
251704104,2/4/2025 0:00,1/31/2025 0:00,1430,17,Devonshire,1717,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,0,X,X,721,HIGH SCHOOL,,,IC,Invest Cont,341,,,,11200    GOTHIC                       AV,,34.2737,-118.4887
251704106,2/4/2025 0:00,1/31/2025 0:00,1430,17,Devonshire,1717,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,0,X,X,721,HIGH SCHOOL,,,IC,Invest Cont,341,,,,11200    GOTHIC                       AV,,34.2737,-118.4887
250304118,2/2/2025 0:00,1/31/2025 0:00,1730,3,Southwest,358,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,101,STREET,,,IC,Invest Cont,522,,,,3700    MCCLINTOCK                   AV,,34.0197,-118.2905
250804170,1/31/2025 0:00,1/31/2025 0:00,1000,8,West LA,842,2,624,BATTERY - SIMPLE ASSAULT,0342 2024 0446 1259,17,F,H,721,HIGH SCHOOL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,11800    TEXAS                        AV,,34.0458,-118.4614
251304103,2/3/2025 0:00,1/31/2025 0:00,1800,13,Newton,1313,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1402,0,M,O,101,STREET,,,IC,Invest Cont,740,998,,,600 E  15TH                         ST,,34.0312,-118.2564
251704073,1/31/2025 0:00,1/31/2025 0:00,1621,17,Devonshire,1752,1,450,THEFT FROM PERSON - ATTEMPT,344,16,M,H,721,HIGH SCHOOL,,,IC,Invest Cont,450,,,,10000    LURLINE                      AV,,34.2536,-118.5913
250504155,2/11/2025 0:00,1/30/2025 0:00,1927,5,Harbor,523,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,2000    JOHN S GIBSON                BL,,33.7566,-118.2896
251304094,1/31/2025 0:00,1/30/2025 0:00,2306,13,Newton,1321,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,42,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,740,,,,1900    MAPLE                        AV,,34.0289,-118.2686
251104087,2/2/2025 0:00,1/30/2025 0:00,1100,11,Northeast,1101,1,330,BURGLARY FROM VEHICLE,0344 1302 1307,30,F,W,108,PARKING LOT,,,IC,Invest Cont,330,,,,2800 E  OBSERVATORY                  RD,,34.1192,-118.3004
251104088,2/2/2025 0:00,1/30/2025 0:00,1730,11,Northeast,1101,1,330,BURGLARY FROM VEHICLE,0344 1302 1307,25,F,A,109,PARK/PLAYGROUND,,,IC,Invest Cont,330,,,,2800 E  OBSERVATORY                  RD,,34.1192,-118.3004
250504106,1/31/2025 0:00,1/30/2025 0:00,1620,5,Harbor,563,2,860,BATTERY WITH SEXUAL CONTACT,1251 1259 0913 1824 2024 0448,15,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,17TH,PACIFIC,33.7288,-118.288
250304125,2/3/2025 0:00,1/30/2025 0:00,1930,3,Southwest,308,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,1000 W  24TH                         ST,,34.0334,-118.2821
251304095,1/31/2025 0:00,1/30/2025 0:00,1554,13,Newton,1372,2,850,INDECENT EXPOSURE,,16,F,H,101,STREET,,,IC,Invest Cont,850,,,,300 E  53RD                         ST,,33.9942,-118.2701
251104089,2/2/2025 0:00,1/30/2025 0:00,1730,11,Northeast,1101,1,330,BURGLARY FROM VEHICLE,0344 1302 1307,32,F,H,109,PARK/PLAYGROUND,,,IC,Invest Cont,330,,,,2800 E  OBSERVATORY                  RD,,34.1192,-118.3004
251904078,1/29/2025 0:00,1/29/2025 0:00,900,19,Mission,1936,1,210,ROBBERY,0416 0344 0302 1822,16,F,H,124,BUS STOP,103,RIFLE,IC,Invest Cont,210,,,,11400    LAUREL CANYON                BL,,34.277,-118.4515
250504154,2/11/2025 0:00,1/29/2025 0:00,2122,5,Harbor,523,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,2000    JOHN S GIBSON                BL,,33.7566,-118.2896
251104080,1/29/2025 0:00,1/29/2025 0:00,830,11,Northeast,1116,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1402 0411 1822 1815 1251,17,M,H,721,HIGH SCHOOL,200,KNIFE WITH BLADE 6INCHES OR LESS,JA,Juv Arrest,230,998,,,800 N  AVE 54,,34.1152,-118.1991
250304124,2/3/2025 0:00,1/28/2025 0:00,1700,3,Southwest,328,1,510,VEHICLE - STOLEN,,0,,,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,510,,,,3000 S  ROYAL                        ST,,34.0263,-118.2808
251704069,1/28/2025 0:00,1/28/2025 0:00,1000,17,Devonshire,1774,2,624,BATTERY - SIMPLE ASSAULT,0400 1824 1259,16,M,H,721,HIGH SCHOOL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,9600    ZELZAH                       AV,,34.245,-118.5233
250304096,1/28/2025 0:00,1/27/2025 0:00,1800,3,Southwest,358,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,101,STREET,,,IC,Invest Cont,522,,,,900 W  37TH                         PL,,34.0199,-118.2909
250504149,2/10/2025 0:00,1/27/2025 0:00,2034,5,Harbor,559,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,300    TERMINAL                     WY,,33.7408,-118.2678
250304091,1/27/2025 0:00,1/27/2025 0:00,1830,3,Southwest,358,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,101,STREET,,,IC,Invest Cont,522,,,,3400 S  FIGUEROA                     ST,,34.0215,-118.2868
